,net_profit,total_closed,percent_profitable,profit_factor,max_drawdown,avg_trade,avg_bars,script
0,3408.46,557,27.47,1.233,48326.55,6.12,19,https://www.tradingview.com/script/GFe2U4zZ-RSI-Fibonacci-Levels-Strategy/
0,26.65,46,71.74,1.659,8617.35,0.58,220,https://www.tradingview.com/script/CfgKji30/
0,0,285,56.49,1.214,0.08,0,28,https://www.tradingview.com/script/5q0z53EQ-Warm-Up/
0,19.47,48,77.08,3.519,2393.88,0.41,241,https://www.tradingview.com/script/jSh5P4hE-QuantCat-Chande-Swinger-Strategy/
0,81848.3,361,55.4,3.293,54248.48,226.73,15,https://www.tradingview.com/script/wC4SIDJz-Average-True-Range-Trailing-Stops-Strategy/
0,604.65,67,47.76,1.946,238550.79,9.02,15,https://www.tradingview.com/script/jds0DHEd-SSL-Channel-Cross/
0,22.16,518,56.76,1.617,3957.14,0.04,7,https://www.tradingview.com/script/8Nv5FqYs-BreakingDawn-JackTz/
0,108.8,94,71.28,4.066,7901.77,1.16,102,https://www.tradingview.com/script/Ve4eUaCQ-SELO-Triangular-Wave/
0,55.02,367,45.78,1.922,9185.69,0.15,9,https://www.tradingview.com/script/b9zs1kfY-BTC-WMA/
0,382.85,20,60,9.98,226.70,19.14,5,https://www.tradingview.com/script/ecYPmJVL-Rev-FO/
0,28525446.52,1058,53.4,3.448,9341589.56,26961.67,11,https://www.tradingview.com/script/ibMhrf4G-Renko-EMA-Cross-Strategy/
0,27.02,244,39.75,0.89,39.46,0.11,12,https://www.tradingview.com/script/DOKx4zYx-Dr-Kumalo-16v-Strategy/
0,2933.41,103,60.19,2.205,69462.98,28.48,7,https://www.tradingview.com/script/H69aymbU-Lancelot-RR-Strategy/
0,5527.18,48,50,6.153,36630.31,115.15,16,https://www.tradingview.com/script/GbxxlgSL-QuarryLake-v4/
0,91.24,7,57.14,5.165,19507.28,13.03,28,https://www.tradingview.com/script/zXEErEs9-How-To-Auto-Set-Date-Range/
0,24.36,425,53.65,1.201,11450.00,0.06,13,https://www.tradingview.com/script/xBOMn7is-Combo-Backtest-123-Reversal-CMOabs/
0,416.47,48,56.25,2.193,81.17,8.68,31,https://www.tradingview.com/script/SFDAB99p-Lancelot-vstop-intraday-trending-strategy/
0,6595.91,349,33.81,1.493,2126.96,18.9,11,https://www.tradingview.com/script/KK5rhCsh-Renko-Bollinger-Strategy/
0,0,14,92.86,45.33,0.002,0,351,https://www.tradingview.com/script/S5dQNQvX-LAKSHMI/
0,18.73,82,46.34,1.294,9337.50,0.23,86,https://www.tradingview.com/script/KdjRKBI5-Combo-Backtest-123-Reversal-CMOav/
0,15296.33,207,49.28,2.538,34564.75,73.9,37,https://www.tradingview.com/script/sO5mkXTE-SuperTrend-Cloud-Strategy/
0,0,89,74.16,2.442,0.20,0,4,https://www.tradingview.com/script/RpYoQCVJ-Buy-Sell-Strategy-depends-on-AO-Stoch-RSI-ATR-by-SerdarYILMAZ/
0,1056415.21,30,46.67,19.544,3120532.20,35213.84,92,https://www.tradingview.com/script/OYAHjAwg-Cloud-Breakout-BF/
